ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
531,0,0,18,0,-18
532,1,0,18,0,-18
533,1,1,362,1622,1260
534,0,0,92,0,-92
535,1,0,38,0,-38
536,0,0,87,0,-87
537,1,1,338,1598,1260
538,1,0,52,0,-52
539,1,1,278,1324,1046
540,0,0,101,0,-101
541,1,1,332,1353,1021
542,0,0,65,0,-65
543,0,0,18,0,-18
544,1,1,251,6152,5901
545,1,0,37,0,-37
546,1,1,502,1380,878
547,0,0,45,0,-45
548,1,1,564,1238,674
549,0,0,25,0,-25
550,1,1,81,1316,1235
551,0,0,25,0,-25
552,1,1,199,1726,1527
553,1,1,117,1493,1376
554,0,0,40,0,-40
555,0,0,61,0,-61
556,1,1,152,2231,2079
557,1,1,1220,2164,944
558,0,0,71,0,-71
559,0,0,13,0,-13
560,0,0,131,0,-131
561,1,0,0,0,0
562,0,0,59,0,-59
563,1,1,199,1302,1103
564,0,0,5,0,-5
565,1,1,510,1459,949
566,0,0,45,0,-45
567,1,1,187,1486,1299
568,0,0,7,0,-7
569,0,0,14,0,-14
570,1,0,129,0,-129
571,1,1,459,1579,1120
572,1,0,46,0,-46
573,1,1,309,1265,956
574,0,0,119,0,-119
575,1,0,89,0,-89
576,0,0,2,0,-2
577,0,0,17,0,-17
578,1,1,380,1320,940
579,0,0,4,0,-4
580,0,0,15,0,-15
581,1,0,75,0,-75
582,0,0,282,0,-282
583,1,0,49,0,-49
584,1,1,259,1924,1665
585,1,0,36,0,-36
586,1,1,247,1339,1092
587,0,0,127,0,-127
588,1,0,46,0,-46
589,1,0,48,0,-48
590,1,0,24,0,-24
591,1,0,4,0,-4
592,1,0,0,0,0
593,0,0,21,0,-21
594,1,0,9,0,-9
595,1,0,38,0,-38
596,0,0,51,0,-51
597,0,0,23,0,-23
598,0,0,54,0,-54
599,1,0,56,0,-56
600,1,1,524,1267,743
601,0,0,53,0,-53
602,0,0,84,0,-84
603,1,0,12,0,-12
604,1,0,11,0,-11
605,0,0,75,0,-75
606,1,0,3,0,-3
607,0,0,4,0,-4
608,0,0,58,0,-58
609,1,1,362,1648,1286
610,1,1,772,1297,525
611,1,1,166,1668,1502
612,0,0,7,0,-7
613,1,0,58,0,-58
614,0,0,4,0,-4
615,0,0,195,0,-195
616,0,0,13,0,-13
617,1,1,173,1345,1172
618,1,0,58,0,-58
619,1,1,472,2474,2002
620,1,1,1062,1670,608
621,1,0,44,0,-44
622,0,0,138,0,-138
623,1,1,1088,1268,180
624,0,0,35,0,-35
625,1,1,640,1295,655
626,0,0,46,0,-46
627,1,1,511,1237,726
628,1,0,24,0,-24
629,0,0,2,0,-2
630,1,1,446,1947,1501
631,1,1,252,1286,1034
632,1,0,349,0,-349
633,0,0,12,0,-12
