ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
842,1,1,20,1593,1573
843,0,0,10,0,-10
844,1,1,572,1534,962
845,0,0,91,0,-91
846,0,0,28,0,-28
847,1,0,23,0,-23
848,1,1,257,1207,950
849,1,1,530,1443,913
850,1,1,872,2106,1234
851,1,0,44,0,-44
852,1,0,200,0,-200
853,0,0,40,0,-40
854,1,0,1,0,-1
855,1,1,59,1259,1200
856,1,1,395,1309,914
857,0,0,110,0,-110
858,1,0,16,0,-16
859,0,0,5,0,-5
860,0,0,77,0,-77
861,1,1,827,1503,676
862,1,1,112,1303,1191
863,1,1,869,1751,882
864,1,1,92,1517,1425
865,0,0,14,0,-14
866,1,0,23,0,-23
867,1,1,157,1426,1269
868,0,0,14,0,-14
869,1,0,2,0,-2
870,1,1,545,1413,868
871,0,0,35,0,-35
872,1,1,248,1843,1595
873,1,0,5,0,-5
874,0,0,23,0,-23
875,1,1,842,1471,629
876,1,1,264,1573,1309
877,1,0,6,0,-6
878,1,1,84,2053,1969
879,1,0,20,0,-20
880,1,0,112,0,-112
881,1,0,0,0,0
882,0,0,125,0,-125
883,0,0,23,0,-23
884,1,1,814,1742,928
885,0,0,47,0,-47
886,1,1,88,1278,1190
887,0,0,287,0,-287
888,1,1,476,1324,848
889,0,0,33,0,-33
890,0,0,81,0,-81
891,0,0,15,0,-15
892,1,0,31,0,-31
893,1,1,634,1458,824
894,1,1,285,1765,1480
895,0,0,96,0,-96
896,1,1,538,1654,1116
897,1,0,40,0,-40
898,0,0,122,0,-122
899,1,0,22,0,-22
900,1,1,492,1234,742
901,1,1,358,1416,1058
902,1,1,954,1335,381
903,0,0,84,0,-84
904,1,0,29,0,-29
905,1,1,1825,1365,-460
906,0,0,6,0,-6
907,0,0,104,0,-104
908,1,1,534,1266,732
909,0,0,16,0,-16
910,1,1,191,1231,1040
911,0,0,78,0,-78
912,0,0,35,0,-35
913,1,1,487,1491,1004
914,0,0,2,0,-2
915,1,0,33,0,-33
916,0,0,25,0,-25
917,0,0,28,0,-28
918,0,0,24,0,-24
919,1,1,425,1253,828
920,1,0,17,0,-17
921,1,1,147,3398,3251
922,1,1,709,1537,828
923,1,1,225,1374,1149
924,1,0,105,0,-105
925,0,0,12,0,-12
926,1,1,871,2107,1236
927,1,0,31,0,-31
928,1,0,3,0,-3
929,1,0,22,0,-22
930,1,0,3,0,-3
931,0,0,20,0,-20
932,0,0,47,0,-47
933,1,0,80,0,-80
934,0,0,42,0,-42
935,0,0,1,0,-1
936,0,0,6,0,-6
937,1,1,896,1204,308
938,1,0,211,0,-211
939,1,1,1677,1254,-423
940,1,1,101,1214,1113
941,1,0,18,0,-18
942,1,0,17,0,-17
943,0,0,31,0,-31
944,1,0,8,0,-8
945,1,0,3,0,-3
946,0,0,56,0,-56
947,1,0,6,0,-6
948,0,0,84,0,-84
949,1,1,451,1357,906
950,0,0,3,0,-3
951,1,1,201,2058,1857
952,1,0,45,0,-45
953,1,1,993,1324,331
954,0,0,22,0,-22
955,1,0,206,0,-206
956,1,1,232,1255,1023
957,0,0,7,0,-7
958,1,1,57,1647,1590
959,1,0,22,0,-22
960,0,0,48,0,-48
961,0,0,94,0,-94
962,1,0,2,0,-2
963,0,0,58,0,-58
964,0,0,14,0,-14
965,1,1,251,1207,956
966,1,0,46,0,-46
967,1,0,33,0,-33
968,0,0,2,0,-2
969,0,0,1,0,-1
970,1,0,31,0,-31
971,0,0,15,0,-15
972,1,0,25,0,-25
973,1,1,686,1484,798
974,1,0,78,0,-78
975,1,0,127,0,-127
976,0,0,102,0,-102
977,0,0,63,0,-63
978,0,0,3,0,-3
979,0,0,86,0,-86
980,1,0,76,0,-76
981,1,0,23,0,-23
982,1,0,23,0,-23
983,1,0,12,0,-12
984,1,1,95,1591,1496
985,1,0,35,0,-35
986,1,1,509,1512,1003
987,0,0,0,0,0
988,1,1,636,1632,996
989,0,0,56,0,-56
990,1,0,41,0,-41
991,1,1,100,1719,1619
992,1,0,19,0,-19
993,1,1,119,1320,1201
994,1,1,33,1316,1283
995,1,1,54,1547,1493
996,0,0,32,0,-32
997,0,0,21,0,-21
998,1,0,24,0,-24
999,0,0,58,0,-58
1000,1,1,223,1263,1040
1001,1,0,27,0,-27
1002,1,0,99,0,-99
1003,1,1,426,1373,947
1004,1,0,58,0,-58
1005,1,1,272,1243,971
1006,0,0,83,0,-83
1007,0,0,30,0,-30
1008,0,0,6,0,-6
1009,1,1,407,1325,918
1010,0,0,80,0,-80
1011,1,1,126,1279,1153
1012,0,0,41,0,-41
1013,0,0,78,0,-78
1014,0,0,71,0,-71
1015,1,1,666,2469,1803
1016,0,0,6,0,-6
1017,1,0,71,0,-71
1018,0,0,7,0,-7
1019,0,0,94,0,-94
1020,1,1,1125,1268,143
1021,1,1,360,1339,979
1022,0,0,97,0,-97
1023,0,0,57,0,-57
1024,0,0,39,0,-39
1025,1,0,39,0,-39
1026,1,0,0,0,0
1027,1,1,43,1242,1199
1028,0,0,3,0,-3
1029,0,0,15,0,-15
1030,1,0,42,0,-42
1031,1,1,165,1460,1295
1032,1,1,483,1296,813
1033,1,1,690,1232,542
1034,1,1,477,2445,1968
1035,0,0,0,0,0
1036,1,1,994,1216,222
1037,1,0,31,0,-31
1038,1,1,537,1352,815
1039,1,1,265,1546,1281
1040,1,1,1536,1325,-211
1041,0,0,24,0,-24
1042,1,1,384,1615,1231
1043,1,1,777,1434,657
1044,1,1,125,1243,1118
